instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
RC103,SAA64-b0p7,RC,1578.0,13,35.0,41.0,38.0,True
RC103,Gamma1,RC,2223.757,16,49.0,55.0,52.0,True
RC103,Gamma2,RC,,0,,,,
RC104,DET,RC,1188.0,10,99.05,99.58,97.49,True
RC104,Q120,RC,,0,,,,
RC104,Q1405,RC,,0,,,,
RC104,SAA16-b0p3,RC,1277.0,11,49.5,55.05,52.275,True
RC104,SAA32-b0p5,RC,1388.0,11,49.5,55.05,52.275,True
RC104,SAA64-b0p7,RC,1392.0,11,49.5,55.05,52.275,True
RC104,Gamma1,RC,1890.262,14,56.0,65.05,60.525,True
RC104,Gamma2,RC,1960.78,15,56.0,65.05,60.525,True
RC105,DET,RC,,0,,,,
RC105,Q120,RC,,0,,,,
RC105,Q1405,RC,,0,,,,
RC105,SAA16-b0p3,RC,1711.0,15,32.0,36.0,34.0,True
RC105,SAA32-b0p5,RC,1810.0,16,32.0,36.0,34.0,True
RC105,SAA64-b0p7,RC,1841.0,16,32.0,36.0,34.0,True
RC105,Gamma1,RC,,0,,,,
RC105,Gamma2,RC,,0,,,,
RC106,DET,RC,1400.0,13,99.05,99.58,97.49,True
RC106,Q120,RC,,0,,,,
RC106,Q1405,RC,,0,,,,
RC106,SAA16-b0p3,RC,1533.0,14,33.0,35.0,34.0,True
RC106,SAA32-b0p5,RC,1663.0,14,33.0,35.0,34.0,True
RC106,SAA64-b0p7,RC,1724.0,14,33.0,35.0,34.0,True
RC106,Gamma1,RC,2231.18,18,39.0,41.0,40.0,True
RC106,Gamma2,RC,2426.1,20,39.0,41.0,40.0,True
RC107,DET,RC,1254.0,11,99.05,99.58,97.49,True
RC107,Q120,RC,,0,,,,
RC107,Q1405,RC,,0,,,,
RC107,SAA16-b0p3,RC,1355.0,12,34.0,39.0,36.5,True
RC107,SAA32-b0p5,RC,1460.0,12,34.0,39.0,36.5,True
RC107,SAA64-b0p7,RC,1529.0,12,34.0,39.0,36.5,True
RC107,Gamma1,RC,1997.784,16,40.0,44.0,42.0,True
RC107,Gamma2,RC,2195.08,16,40.0,44.0,42.0,True
RC108,DET,RC,1170.0,11,99.05,99.58,97.49,True
RC108,Q120,RC,1367.0,13,55.0,62.0,58.5,True
RC108,Q1405,RC,,0,,,,
RC108,SAA16-b0p3,RC,1286.0,11,35.0,43.0,39.0,True
RC108,SAA32-b0p5,RC,1380.0,12,35.0,43.0,39.0,True
RC108,SAA64-b0p7,RC,1424.0,11,35.0,43.0,39.0,True
RC108,Gamma1,RC,1942.97,14,44.0,53.0,48.5,True
RC108,Gamma2,RC,2001.88,15,44.0,53.0,48.5,True
RC201,DET,RC,1448.0,9,99.05,99.58,97.49,True
RC201,Q120,RC,,0,,,,
RC201,Q1405,RC,,0,,,,
RC201,SAA16-b0p3,RC,1495.0,9,29.0,30.0,29.5,True
RC201,SAA32-b0p5,RC,1727.0,9,29.0,30.0,29.5,True
RC201,SAA64-b0p7,RC,1627.0,9,29.0,30.0,29.5,True
